month,sample_period,sp500_log_return,credit_spread,regime_raw,regime_label
2005-03,in_sample,-0.0039506760425546,0.74,0,Bull
2005-04,in_sample,-0.02583080297398458,0.76,0,Bull
2005-05,in_sample,0.01182405108747544,0.88,2,Recovery
2005-06,in_sample,0.0201390531885729,0.9,2,Recovery
2005-07,in_sample,0.01649043963527748,0.87,2,Recovery
2005-08,in_sample,0.001659507188508416,0.88,2,Recovery
2005-09,in_sample,0.00134683453072613,0.93,2,Recovery
2005-10,in_sample,-0.0280925714970193,0.97,2,Recovery
2005-11,in_sample,0.03738914840433909,0.96,2,Recovery
2005-12,in_sample,0.01976507065517469,0.95,2,Recovery
2006-01,in_sample,0.01311416779504232,0.92,2,Recovery
2006-02,in_sample,-0.001627938278741351,0.89,2,Recovery
2006-03,in_sample,0.01329778892412789,0.88,2,Recovery
2006-04,in_sample,0.006494855086375884,0.79,2,Recovery
2006-05,in_sample,-0.009382133337927324,0.83,2,Recovery
2006-06,in_sample,-0.02897362918903983,0.91,2,Recovery
2006-07,in_sample,0.005625837923097269,0.88,2,Recovery
2006-08,in_sample,0.02112829292352608,0.93,2,Recovery
2006-09,in_sample,0.02348767609243474,0.94,2,Recovery
2006-10,in_sample,0.03404876259808718,0.86,2,Recovery
2006-11,in_sample,0.01835794028417331,0.9,2,Recovery
2006-12,in_sample,0.01980771054712211,0.89,2,Recovery
2007-01,in_sample,0.005449604767564685,0.92,2,Recovery
2007-02,in_sample,0.01438873745209945,0.91,2,Recovery
2007-03,in_sample,-0.02654666278247265,0.97,2,Recovery
2007-04,in_sample,0.03950224276289897,0.91,2,Recovery
2007-05,in_sample,0.03193784920909564,0.93,2,Recovery
2007-06,in_sample,0.002016309647751298,0.89,2,Recovery
2007-07,in_sample,0.004296688543782598,1.01,2,Recovery
2007-08,in_sample,-0.04443263293346555,0.83,2,Recovery
2007-09,in_sample,0.02879856441729145,0.83,2,Recovery
2007-10,in_sample,0.02801835028397296,0.85,2,Recovery
2007-11,in_sample,-0.05080595078666121,1.1,1,Bear
2007-12,in_sample,0.01075925977866102,1.15,1,Bear
2008-01,in_sample,-0.07033037731565632,1.25,1,Bear
2008-02,in_sample,-0.01747903573615586,1.33,1,Bear
2008-03,in_sample,-0.02839464513284377,1.42,1,Bear
2008-04,in_sample,0.0398428830631021,1.36,1,Bear
2008-05,in_sample,0.02361584897001179,1.39,1,Bear
2008-06,in_sample,-0.04516758070712532,1.44,1,Bear
2008-07,in_sample,-0.06461158997665167,1.48,1,Bear
2008-08,in_sample,0.01901743149552082,1.52,1,Bear
2008-09,in_sample,-0.05166012795459361,1.84,1,Bear
2008-10,in_sample,-0.2280448152703013,3,1,Bear
2008-11,in_sample,-0.09268769254769137,3.43,1,Bear
2008-12,in_sample,-0.006225170620331023,3.37,1,Bear
2009-01,in_sample,-0.01374552660601952,2.93,1,Bear
2009-02,in_sample,-0.07227185156911652,2.81,1,Bear
2009-03,in_sample,-0.06159298168708063,3.06,1,Bear
2009-04,in_sample,0.1135225377330884,2.79,1,Bear
2009-05,in_sample,0.06201145530094628,2.4,1,Bear
2009-06,in_sample,0.02593485364031953,1.8,1,Bear
2009-07,in_sample,0.01041933440879142,1.45,1,Bear
2009-08,in_sample,0.07601509707268232,1.26,1,Bear
2009-09,in_sample,0.03390320228058674,1.13,1,Bear
2009-10,in_sample,0.02188316713038243,1.11,1,Bear
2009-11,in_sample,0.01893614680612568,1.19,1,Bear
2009-12,in_sample,0.02029681448138652,1.06,2,Recovery
2010-01,in_sample,0.01181771707991454,0.96,2,Recovery
2010-02,in_sample,-0.0311132592188617,1.02,2,Recovery
2010-03,in_sample,0.05613620716773501,0.99,2,Recovery
2010-04,in_sample,0.03854276174277434,0.94,2,Recovery
2010-05,in_sample,-0.06224935828483324,1.19,1,Bear
2010-06,in_sample,-0.03776904481234703,1.39,1,Bear
2010-07,in_sample,-0.003291483953148587,1.15,1,Bear
2010-08,in_sample,0.006903325862905318,1.22,1,Bear
2010-09,in_sample,0.0315049411415084,1.04,2,Recovery
2010-10,in_sample,0.04316915934668791,1.03,2,Recovery
2010-11,in_sample,0.02304286356430272,1.05,2,Recovery
2010-12,in_sample,0.03494836127403601,1.1,2,Recovery
2011-01,in_sample,0.03256037094561733,0.98,2,Recovery
2011-02,in_sample,0.02957500074987406,0.9,2,Recovery
2011-03,in_sample,-0.012667701894044,0.9,2,Recovery
2011-04,in_sample,0.02050147677740933,0.81,2,Recovery
2011-05,in_sample,0.005093987388109528,0.76,2,Recovery
2011-06,in_sample,-0.03886839050217866,0.76,2,Recovery
2011-07,in_sample,0.02901661192806692,0.92,2,Recovery
2011-08,in_sample,-0.1115515016339191,1.07,1,Bear
2011-09,in_sample,-0.009689842219560657,1.26,1,Bear
2011-10,in_sample,0.02800569406648993,1.31,1,Bear
2011-11,in_sample,0.01577916073816062,1.25,1,Bear
2011-12,in_sample,0.01368586473400817,1.39,1,Bear
2012-01,in_sample,0.0450250977470868,1.35,1,Bear
2012-02,in_sample,0.03913701917921351,1.28,1,Bear
2012-03,in_sample,0.02680949702767644,1.26,1,Bear
2012-04,in_sample,-0.002024737061668188,1.2,1,Bear
2012-05,in_sample,-0.0331151716470485,1.36,1,Bear
2012-06,in_sample,-0.01335229519086496,1.4,1,Bear
2012-07,in_sample,0.0270582908328382,1.49,1,Bear
2012-08,in_sample,0.03161056900579222,1.42,1,Bear
2012-09,in_sample,0.02808180677041585,1.3,1,Bear
2012-10,in_sample,-0.003887220121583679,1.05,2,Recovery
2012-11,in_sample,-0.03058497852264389,0.99,2,Recovery
2012-12,in_sample,0.01972514961509142,0.96,2,Recovery
2013-01,in_sample,0.04004407282603476,0.94,2,Recovery
2013-02,in_sample,0.02132596166745246,0.94,2,Recovery
2013-03,in_sample,0.02515198828447993,0.93,2,Recovery
2013-04,in_sample,0.01273110838505307,0.83,2,Recovery
2013-05,in_sample,0.043077296234266,0.86,2,Recovery
2013-06,in_sample,-0.01293207449937463,1.03,2,Recovery
2013-07,in_sample,0.03036629311931478,0.9,2,Recovery
2013-08,in_sample,0.0008446224710434821,0.85,2,Recovery
2013-09,in_sample,0.01017505189341215,0.83,2,Recovery
2013-10,in_sample,0.01928916344820775,0.74,0,Bull
2013-11,in_sample,0.0362584208420753,0.74,0,Bull
2013-12,in_sample,0.01349941977447679,0.8,0,Bull
2014-01,in_sample,0.008032791241485987,0.64,0,Bull
2014-02,in_sample,-0.002923560910733512,0.69,0,Bull
2014-03,in_sample,0.02525836889118085,0.67,0,Bull
2014-04,in_sample,0.0003970191426105075,0.62,0,Bull
2014-05,in_sample,0.01359093702983411,0.54,0,Bull
2014-06,in_sample,0.02988082173855209,0.56,0,Bull
2014-07,in_sample,0.01326995971007678,0.6,0,Bull
2014-08,in_sample,-0.005881129025228559,0.63,0,Bull
2014-09,in_sample,0.01603165751778696,0.76,0,Bull
2014-10,in_sample,-0.02847667296444207,0.84,2,Recovery
2014-11,in_sample,0.05390773291510084,0.87,2,Recovery
2014-12,in_sample,0.004733055258621784,0.96,2,Recovery
2015-01,in_sample,-0.01278171450843505,1,2,Recovery
2015-02,in_sample,0.02628618787183353,0.82,2,Recovery
2015-03,in_sample,-0.00106194104915356,0.97,2,Recovery
2015-04,in_sample,0.00712363935614136,0.91,2,Recovery
2015-05,in_sample,0.008120230984056918,0.9,2,Recovery
2015-06,in_sample,-0.006007764025358703,0.99,2,Recovery
2015-07,in_sample,-0.002456224422097852,1.07,2,Recovery
2015-08,in_sample,-0.02625688756673005,1.21,1,Bear
2015-09,in_sample,-0.04792749118473864,1.35,1,Bear
2015-10,in_sample,0.04051727984533032,1.37,1,Bear
2015-11,in_sample,0.02719005722423832,1.42,1,Bear
2015-12,in_sample,-0.01283786707892725,1.46,1,Bear
2016-01,in_sample,-0.06823230573956614,1.37,1,Bear
2016-02,in_sample,-0.00741825312324991,1.45,1,Bear
2016-03,in_sample,0.05988489202199047,1.18,1,Bear
2016-04,in_sample,0.02615896848926043,1.06,2,Recovery
2016-05,in_sample,-0.004824826014269101,1.05,2,Recovery
2016-06,in_sample,0.008839804613196051,1.02,2,Recovery
2016-07,in_sample,0.03071974391774002,0.92,2,Recovery
2016-08,in_sample,0.01020877646320801,0.95,2,Recovery
2016-09,in_sample,-0.00612665478170606,0.85,2,Recovery
2016-10,in_sample,-0.00682215582883705,0.84,2,Recovery
2016-11,in_sample,0.01019969334709823,0.81,2,Recovery
2016-12,in_sample,0.03701557314200675,0.75,0,Bull
2017-01,in_sample,0.01260148261642533,0.69,0,Bull
2017-02,in_sample,0.02379684195756694,0.71,0,Bull
2017-03,in_sample,0.01571764179071489,0.7,0,Bull
2017-04,in_sample,-0.003178078605976021,0.72,0,Bull
2017-05,in_sample,0.01516015456596961,0.69,0,Bull
2017-06,in_sample,0.01600252812061225,0.69,0,Bull
2017-07,in_sample,0.008228209161259463,0.68,0,Bull
2017-08,in_sample,0.0008634875656675779,0.67,0,Bull
2017-09,in_sample,0.01479903995825891,0.71,0,Bull
2017-10,in_sample,0.02541207353040274,0.71,0,Bull
2017-11,in_sample,0.01421603132745591,0.69,0,Bull
2017-12,in_sample,0.02690564452555205,0.72,0,Bull
2018-01,in_sample,0.04601353651394033,0.69,0,Bull
2018-02,in_sample,-0.0308088484040932,0.71,0,Bull
2018-03,in_sample,-0.0008838872380375789,0.82,2,Recovery
2018-04,in_sample,-0.01834865905062431,0.79,2,Recovery
2018-05,in_sample,0.01787495866465659,0.87,2,Recovery
2018-06,in_sample,0.01937800745577034,0.91,2,Recovery
2018-07,in_sample,0.01416392489912207,0.9,2,Recovery
2018-08,in_sample,0.02271369141582278,0.87,2,Recovery
2018-09,in_sample,0.01516874822991169,0.9,2,Recovery
2018-10,in_sample,-0.04081481435188008,0.91,2,Recovery
2018-11,in_sample,-0.02259435450917464,1.06,2,Recovery
2018-12,in_sample,-0.05896001765259378,1.15,1,Bear
