month,sample_period,sp500_log_return,term_spread,z_sp500_log_return,z_term_spread
1996-03,in_sample,-0.003809939747189829,1.17,-0.2747555325475995,-0.5672376520502665
1996-04,in_sample,0.0001545308446638816,1.42,-0.1617186701147561,-0.3407238133678848
1996-05,in_sample,0.02149272582134912,1.59,0.4466860473022435,-0.186694403063865
1996-06,in_sample,0.01093465957359242,1.68,0.1456494638913705,-0.1051494211382077
1996-07,in_sample,-0.03722898069241461,1.57,-1.227615049711179,-0.2048155101584556
1996-08,in_sample,0.02848480322075327,1.45,0.6460474684060589,-0.3135421527259989
1996-09,in_sample,0.01824267822007309,1.59,0.3540191514093785,-0.186694403063865
1996-10,in_sample,0.03862897995637275,1.41,0.9352830380972222,-0.3497843669151801
1996-11,in_sample,0.04761777136918655,1.03,1.191575714465056,-0.6940854017124002
1996-12,in_sample,0.01025081326223791,1.26,0.1261513141054635,-0.485692670124609
1997-01,in_sample,0.03043687289287841,1.41,0.7017058030751936,-0.3497843669151801
1997-02,in_sample,0.04112786509762942,1.28,1.006532434303648,-0.4675715630300185
1997-03,in_sample,-0.007833808255602075,1.41,-0.3894859764983943,-0.3497843669151801
1997-04,in_sample,-0.03628722968088854,1.59,-1.200763399012948,-0.186694403063865
1997-05,in_sample,0.08666551761565723,1.51,2.304923542002115,-0.2591788314422273
1997-06,in_sample,0.05055540683178409,1.42,1.275334967553175,-0.3407238133678848
1997-07,in_sample,0.05441011551118074,1.03,1.385242246372946,-0.6940854017124002
1997-08,in_sample,0.002105229842646273,1.02,-0.1060994167557044,-0.7031459552596955
1997-09,in_sample,0.01049219499431652,1.13,0.1330337043289745,-0.6034798662394476
1997-10,in_sample,0.01497766561988691,0.92,0.2609255663826381,-0.7937514907326482
1997-11,in_sample,-0.01295201378701003,0.6,-0.5354186757459531,-1.083689204246097
1997-12,in_sample,0.02466871354409814,0.51,0.5372413128760301,-1.165234186171754
1998-01,in_sample,0.001028181611353105,0.36,-0.136808725838332,-1.301142489381183
1998-02,in_sample,0.06079069339366621,0.34,1.567168303745291,-1.319263596475774
1998-03,in_sample,0.05055895171946221,0.49,1.275436041068927,-1.183355293266345
1998-04,in_sample,0.03231849592419745,0.5600000000000001,0.7553555297697807,-1.119931418435278
1998-05,in_sample,-0.00340445790000479,0.51,-0.2631942421514866,-1.165234186171754
