month,sample_period,sp500_log_return,z_sp500_log_return
2015-09,in_sample,-0.0479274911847386,-1.53265604591433
2015-10,in_sample,0.0405172798453303,0.989123138517855
2015-11,in_sample,0.0271900572242383,0.609131057575754
2015-12,in_sample,-0.0128378670789272,-0.532164070764086
2016-01,in_sample,-0.0682323057395661,-2.11159653150518
2016-02,in_sample,-0.00741825312324991,-0.377637471826554
2016-03,in_sample,0.0598848920219905,1.54134166619828
2016-04,in_sample,0.0261589684892604,0.579732167410887
2016-05,in_sample,-0.0048248260142691,-0.30369245027693
2016-06,in_sample,0.00883980461319605,0.0859199674835379
2016-07,in_sample,0.03071974391774,0.709771155657004
2016-08,in_sample,0.010208776463208,0.124952740989844
2016-09,in_sample,-0.00612665478170606,-0.340810808424993
2016-10,in_sample,-0.00682215582883705,-0.360641263555116
2016-11,in_sample,0.0101996933470982,0.12469375888306
2016-12,in_sample,0.0370155731420067,0.889280819163262
2017-01,in_sample,0.0126014826164253,0.193174711620475
2017-02,in_sample,0.0237968419575669,0.512382097426597
2017-03,in_sample,0.0157176417907149,0.282024117295675
2017-04,in_sample,-0.00317807860597602,-0.256739608544327
2017-05,in_sample,0.0151601545659696,0.266128777609946
2017-06,in_sample,0.0160025281206123,0.29014693120878
2017-07,in_sample,0.00822820916125946,0.0684818684074179
2017-08,in_sample,0.000863487565667578,-0.141504560440792
2017-09,in_sample,0.0147990399582589,0.255832506950716
2017-10,in_sample,0.0254120735304027,0.558436344737953
2017-11,in_sample,0.0142160313274559,0.239209488852749
2017-12,in_sample,0.026905644525552,0.601021748059973
2018-01,in_sample,0.0460135365139403,1.14583501077184
2018-02,in_sample,-0.0308088484040932,-1.04456119839321
2018-03,in_sample,-0.000883887238037579,-0.191326538111884
2018-04,in_sample,-0.0183486590506243,-0.689290380461208
2018-05,in_sample,0.0178749586646566,0.343534557354149
2018-06,in_sample,0.0193780074557703,0.386390196081825
2018-07,in_sample,0.0141639248991221,0.237723805699104
2018-08,in_sample,0.0227136914158228,0.481498796379346
2018-09,in_sample,0.0151687482299117,0.266373804224801
2018-10,in_sample,-0.0408148143518801,-1.32985603666791
2018-11,in_sample,-0.0225943545091746,-0.810345659434913
2018-12,in_sample,-0.0589600176525938,-1.84722066374658
2019-01,out_of_sample,0.0154910628661411,0.275563791727905
2019-02,out_of_sample,0.0550169036157327,1.40254327608447
2019-03,out_of_sample,0.0176732118625374,0.337782257018192
2019-04,out_of_sample,0.0349803875881619,0.831252645124593
2019-05,out_of_sample,-0.0170499623008232,-0.652261323882784
2019-06,out_of_sample,0.0123450621570895,0.185863530085552
2019-07,out_of_sample,0.0360006703723158,0.860343430903654
2019-08,out_of_sample,-0.0334683255646556,-1.12038947028391
2019-09,out_of_sample,0.0287988601261462,0.655002007578055
2019-10,out_of_sample,-0.0015020550369343,-0.208952031056109
2019-11,out_of_sample,0.0418384842480517,1.02679394395224
2019-12,out_of_sample,0.0228755536352241,0.486113888610107
2020-01,out_of_sample,0.0314368511273123,0.730217655919759
2020-02,out_of_sample,-0.000271114120461098,-0.173854860875492
2020-03,out_of_sample,-0.211561757400371,-6.19827371439274
2020-04,out_of_sample,0.0404835984284717,0.988162798014432
2020-05,out_of_sample,0.0555056685334204,1.41647917281585
2020-06,out_of_sample,0.0614527431273235,1.58604497918864
2020-07,out_of_sample,0.0326244443070931,0.764078874909479
2020-08,out_of_sample,0.0558052732850545,1.42502164533772
2020-09,out_of_sample,-0.00775272632417696,-0.387174130082602
2020-10,out_of_sample,0.0156792680607775,0.280929987340245
2020-11,out_of_sample,0.0374029996624744,0.900327307535991
2020-12,out_of_sample,0.0404006876485345,0.985798806604023
2021-01,out_of_sample,0.0262901115892675,0.583471381565982
2021-02,out_of_sample,0.0233647662232695,0.500062549530668
2021-03,out_of_sample,0.00694802968966899,0.0319807852320576
2021-04,out_of_sample,0.0573124959255622,1.46799629083537
2021-05,out_of_sample,0.00642034388675732,0.0169351577946747
2021-06,out_of_sample,0.0168067711421493,0.313077888995393
2021-07,out_of_sample,0.0291163012217885,0.664053038384636
2021-08,out_of_sample,0.0205256322480349,0.419111817484262
2021-09,out_of_sample,-0.00194680374934259,-0.221632916903763
2021-10,out_of_sample,0.00340520945754808,-0.0690337825201766
2021-11,out_of_sample,0.0452920090865969,1.12526247916731
2021-12,out_of_sample,0.00158123231119252,-0.121039882451123
2022-01,out_of_sample,-0.0218327889703814,-0.788631542241296
2022-02,out_of_sample,-0.0305990785427393,-1.03858014079396
2022-03,out_of_sample,-0.010131289577371,-0.454992851652031
2022-04,out_of_sample,7.00993888491715e-06,-0.16592485602184
2022-05,out_of_sample,-0.0832906030062172,-2.54094583229225
2022-06,out_of_sample,-0.0356273657281201,-1.18194904558913
2022-07,out_of_sample,0.0032731723792255,-0.0727984862082433
2022-08,out_of_sample,0.0611899887952735,1.57855320327621
2022-09,out_of_sample,-0.076961264576928,-2.36048073846798
2022-10,out_of_sample,-0.0328593808771022,-1.10302695105685
2022-11,out_of_sample,0.0501018310250223,1.26240239941226
2022-12,out_of_sample,-0.00130465003447748,-0.203323526167684
2023-01,out_of_sample,0.0122636664573376,0.183542737358678
