month,sample_period,sp500_log_return,credit_spread,z_sp500_log_return,z_credit_spread
2005-06,in_sample,0.0201390531885729,0.9,0.4080894923209428,-0.1277088456563201
2005-07,in_sample,0.01649043963527748,0.87,0.3040584953091527,-0.2030744399466996
2005-08,in_sample,0.001659507188508416,0.88,-0.1188080720910501,-0.1779525751832398
2005-09,in_sample,0.00134683453072613,0.93,-0.1277231429398218,-0.05234325136594067
2005-10,in_sample,-0.0280925714970193,0.97,-0.9671134252390017,0.04814420768789832
2005-11,in_sample,0.03738914840433909,0.96,0.8999323739063704,0.02302234292443851
2005-12,in_sample,0.01976507065517469,0.95,0.3974263252723878,-0.002099521839021312
2006-01,in_sample,0.01311416779504232,0.92,0.2077926341561518,-0.07746511612940049
2006-02,in_sample,-0.001627938278741351,0.89,-0.2125412736440051,-0.1528307104197799
2006-03,in_sample,0.01329778892412789,0.88,0.2130281267212522,-0.1779525751832398
2006-04,in_sample,0.006494855086375884,0.79,0.01905965639438611,-0.4040493580543779
2006-05,in_sample,-0.009382133337927324,0.83,-0.433632554276459,-0.3035618990005389
2006-06,in_sample,-0.02897362918903983,0.91,-0.9922345592771676,-0.1025869808928603
2006-07,in_sample,0.005625837923097269,0.88,-0.005718172387886125,-0.1779525751832398
2006-08,in_sample,0.02112829292352608,0.93,0.4362951639843364,-0.05234325136594067
2006-09,in_sample,0.02348767609243474,0.94,0.5035670139101021,-0.02722138660248113
2006-10,in_sample,0.03404876259808718,0.86,0.8046897123439932,-0.2281963047101594
2006-11,in_sample,0.01835794028417331,0.9,0.3573055579500638,-0.1277088456563201
2006-12,in_sample,0.01980771054712211,0.89,0.3986420940587969,-0.1528307104197799
2007-01,in_sample,0.005449604767564685,0.92,-0.01074301555332073,-0.07746511612940049
2007-02,in_sample,0.01438873745209945,0.91,0.2441337676436568,-0.1025869808928603
2007-03,in_sample,-0.02654666278247265,0.97,-0.9230357440830329,0.04814420768789832
2007-04,in_sample,0.03950224276289897,0.91,0.9601819206698048,-0.1025869808928603
2007-05,in_sample,0.03193784920909564,0.93,0.744502350417438,-0.05234325136594067
2007-06,in_sample,0.002016309647751298,0.89,-0.1086347514504549,-0.1528307104197799
2007-07,in_sample,0.004296688543782598,1.01,-0.04361550875633199,0.1486316667417376
2007-08,in_sample,-0.04443263293346555,0.83,-1.433008992866898,-0.3035618990005389
2007-09,in_sample,0.02879856441729145,0.83,0.6549935761871909,-0.3035618990005389
2007-10,in_sample,0.02801835028397296,0.85,0.6327477414375768,-0.2533181694736192
2007-11,in_sample,-0.05080595078666121,1.1,-1.614728048846982,0.3747284496128759
2007-12,in_sample,0.01075925977866102,1.15,0.1406483818979386,0.5003377734301745
2008-01,in_sample,-0.07033037731565632,1.25,-2.171417741582536,0.7515564210647726
2008-02,in_sample,-0.01747903573615586,1.33,-0.6644952688092379,0.9525313391724513
2008-03,in_sample,-0.02839464513284377,1.42,-0.9757262917557675,1.178628122043589
2008-04,in_sample,0.0398428830631021,1.36,0.969894418180132,1.027896933462831
2008-05,in_sample,0.02361584897001179,1.39,0.5072215396770656,1.10326252775321
2008-06,in_sample,-0.04516758070712532,1.44,-1.453964171739258,1.228871851570509
2008-07,in_sample,-0.06461158997665167,1.48,-2.008360969500517,1.329359310624348
2008-08,in_sample,0.01901743149552082,1.52,0.3761092835940221,1.429846769678187
2008-09,in_sample,-0.05166012795459361,1.84,-1.639082752656175,2.233746442108901
2008-10,in_sample,-0.2280448152703013,3,-6.668246464031607,5.147882754670237
2008-11,in_sample,-0.09268769254769137,3.43,-2.808880098206953,6.228122939499008
2008-12,in_sample,-0.006225170620331023,3.37,-0.3436197386566839,6.077391750918249
2009-01,in_sample,-0.01374552660601952,2.93,-0.5580436889180482,4.972029701326019
2009-02,in_sample,-0.07227185156911652,2.81,-2.226773974658457,4.670567324164501
2009-03,in_sample,-0.06159298168708063,3.06,-1.922292980834384,5.298613943250995
2009-04,in_sample,0.1135225377330884,2.79,3.070683614635339,4.620323594637581
2009-05,in_sample,0.06201145530094628,2.4,1.601975245196697,3.640570868862649
2009-06,in_sample,0.02593485364031953,1.8,0.5733420987341399,2.133258983055061
2009-07,in_sample,0.01041933440879142,1.45,0.1309562688197541,1.253993716333969
2009-08,in_sample,0.07601509707268232,1.26,2.001253709202254,0.7766782858282325
2009-09,in_sample,0.03390320228058674,1.13,0.8005394276581167,0.4500940439032549
2009-10,in_sample,0.02188316713038243,1.11,0.4578184947538615,0.3998503143763358
2009-11,in_sample,0.01893614680612568,1.19,0.3737916560469959,0.6008252324840138
2009-12,in_sample,0.02029681448138652,1.06,0.4125876569913136,0.2742409905590367
2010-01,in_sample,0.01181771707991454,0.96,0.1708276175816847,0.02302234292443851
2010-02,in_sample,-0.0311132592188617,1.02,-1.053240703662531,0.1737535315051974
2010-03,in_sample,0.05613620716773501,0.99,1.434457388876292,0.09838793721481796
2010-04,in_sample,0.03854276174277434,0.94,0.9328247435724111,-0.02722138660248113
2010-05,in_sample,-0.06224935828483324,1.19,-1.941007901140959,0.6008252324840138
2010-06,in_sample,-0.03776904481234703,1.39,-1.243013613583782,1.10326252775321
2010-07,in_sample,-0.003291483953148587,1.15,-0.2599730754929369,0.5003377734301745
2010-08,in_sample,0.006903325862905318,1.22,0.03070616855902931,0.6761908267743932
2010-09,in_sample,0.0315049411415084,1.04,0.7321590706406933,0.223997261032117
2010-10,in_sample,0.04316915934668791,1.03,1.064734782352316,0.1988753962686572
2010-11,in_sample,0.02304286356430272,1.05,0.4908843085183201,0.2491191257955769
2010-12,in_sample,0.03494836127403601,1.1,0.8303394956938674,0.3747284496128759
2011-01,in_sample,0.03256037094561733,0.98,0.7622519848925305,0.07326607245135815
2011-02,in_sample,0.02957500074987406,0.9,0.6771316964936814,-0.1277088456563201
2011-03,in_sample,-0.012667701894044,0.9,-0.5273122404505927,-0.1277088456563201
2011-04,in_sample,0.02050147677740933,0.81,0.4184230852697471,-0.3538056285274582
2011-05,in_sample,0.005093987388109528,0.76,-0.02088254663795038,-0.4794149523447573
2011-06,in_sample,-0.03886839050217866,0.76,-1.274358678360649,-0.4794149523447573
2011-07,in_sample,0.02901661192806692,0.92,0.661210650045677,-0.07746511612940049
2011-08,in_sample,-0.1115515016339191,1.07,-3.346733953655109,0.2993628553224965
2011-09,in_sample,-0.009689842219560657,1.26,-0.442406095589648,0.7766782858282325
2011-10,in_sample,0.02800569406648993,1.31,0.6323868813728081,0.9022876096455316
2011-11,in_sample,0.01577916073816062,1.25,0.283778174650452,0.7515564210647726
2011-12,in_sample,0.01368586473400817,1.39,0.2240931279411098,1.10326252775321
2012-01,in_sample,0.0450250977470868,1.35,1.117652176690112,1.002775068699371
2012-02,in_sample,0.03913701917921351,1.28,0.9497684929422504,0.8269220153551521
2012-03,in_sample,0.02680949702767644,1.26,0.598280345080982,0.7766782858282325
2012-04,in_sample,-0.002024737061668188,1.2,-0.2238549884011244,0.6259470972474735
2012-05,in_sample,-0.0331151716470485,1.36,-1.110320178589785,1.027896933462831
2012-06,in_sample,-0.01335229519086496,1.4,-0.5468316886397679,1.128384392516669
2012-07,in_sample,0.0270582908328382,1.49,0.6053740718413725,1.354481175387808
2012-08,in_sample,0.03161056900579222,1.42,0.7351707823150487,1.178628122043589
2012-09,in_sample,0.02808180677041585,1.3,0.6345570428215384,0.8771657448820718
2012-10,in_sample,-0.003887220121583679,1.05,-0.2769589871695272,0.2491191257955769
2012-11,in_sample,-0.03058497852264389,0.99,-1.038178114345561,0.09838793721481796
2012-12,in_sample,0.01972514961509142,0.96,0.3962880776775283,0.02302234292443851
2013-01,in_sample,0.04004407282603476,0.94,0.9756308359510812,-0.02722138660248113
2013-02,in_sample,0.02132596166745246,0.94,0.4419311887944061,-0.02722138660248113
2013-03,in_sample,0.02515198828447993,0.93,0.5510206710728234,-0.05234325136594067
